Strain_ID	Seq_ID	GWAS_ID	Seq_method	Sino_species	Host	Host_simple	Country	Lat	Long	Source	Date.Collected	Month	Year	Synonyms	Comments
USDA1730	USDA1730	1730	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Poland	NA	NA	Cracow, Poland	5/9/88	May	1988	?	From: Zygmunt Staszewski Plant Breeding and Acclimatization Institute, Blonie, Poland.
USDA1734	USDA1734	1734	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Pakistan	NA	NA	Kachura, Pakistan	1986		1986	56A18ii IP*	From: Robert Berg, Utah State University
USDA1742	USDA1742	1742	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Pakistan	NA	NA	Jalabad, Pakistan	1985		1985	17C5 IP*	From: Robert Berg, Utah State University, 07/93
USDA1751	USDA1751	1751	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Pakistan	NA	NA	Valley, Pakistan	1985		1985	15Bb9 IP*	From: Robert Berg, Utah State University, 07/102
USDA1760	USDA1760	1760	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Pakistan	NA	NA	Murtazabad, Pakistan	1985		1985	5C15 IP*	From: Robert Berg, Utah State University, 07/111
USDA1767	USDA1767	1767	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Norway	NA	NA	Loken, Norway	10/88.		1988	?	From: Petter Marum, State Agricultural Research, Norway
USDA1770	USDA1770	1770	illumina_2	S. meliloti	Medicago falcata (yellow alfalfa)	M. falcata	Nepal	NA	NA	Jomson, Nepal	1986		1987	N6B13 IP*	From: Robert Berg, Utah State University, 07/88.
USDA1777	USDA1777	1777	illumina_2	S. meliloti	Medicago falcata (yellow alfalfa)	M. falcata	Nepal	NA	NA	Jomson, Nepal	1986		1986	N4A12i IP*	From: Robert Berg, Utah State University, 07/88.
USDA1787	USDA1787	1787	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Japan	NA	NA	Nishinasuno, Tochigi, Japan	11/26/87.	Nov	1987		From: Ken-ichi Suginobu National Grassland Research Institute, 12/14/87.
USDA1788	USDA1788	1788	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Japan	NA	NA	Nishinasuno, Tochigi, Japan	11/26/87.	Nov	1987		From: Ken-ichi Suginobu National Grassland Research Institute, 12/14/87.
USDA1790	USDA1790	1790	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Italy	NA	NA	S. Martino (Perugia), Italy	12/15/87.	Dec	1987		From: Mario Falcinelli, Inst. Miglioramento Genetico Vegetale, University of Perugia, Borgo XX Giugno, Italy, 02/03/88.
USDA1791	USDA1791	1791	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Italy	NA	NA	S. Piero a Sieve, Italy	12/15/87.	Dec	1987		From: Mario Falcinelli, Inst. Miglioramento Genetico Vegetale, University of Perugia, Borgo XX Giugno, Italy, 02/03/88.
USDA1792	USDA1792	1792	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Italy	NA	NA	Paganico, (Grosseto), Italy	12/15/87.	Dec	1987		From: Mario Falcinelli, Inst. Miglioramento Genetico Vegetale, University of Perugia, Borgo XX Giugno, Italy, 02/03/88.
USDA1793	USDA1793	1793	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Hungary	NA	NA	Kompolt, Hungary	09/05/88.	Sept	1988		From: Bela Nagy Research Institute, Hungary
USDA1794	USDA1794	1794	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Hungary	NA	NA	Albertmajor, Hungary	09/05/88.	Sept	1988		From: Bela Nagy Research Institute, Hungary
USDA1795	USDA1795	1795	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Greece	NA	NA	Larissa, Tmima Sitiron, Greece	6/16/88	Sept	1988		From: TH. Vaitsis Fodder Crops and Pastures Institute, Greece, 06/27/88.
USDA1796	USDA1796	1796	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Greece	NA	NA	Larissa, Kentrico, Greece	06/16/88.	Sept	1988		From: TH. Vaitsis Fodder Crops and Pastures Institute, Greece, 06/27/88.
USDA1803	USDA1803	1803	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Egypt	NA	NA	Nobaria, Egypt	11/12/87.	Nov	1987		From: Dr. Ahmed Rammah, Agricultural Research Center, Giza, Egypt, 1/15/88.
USDA1804	USDA1804	1804	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Egypt	NA	NA	Ismaelia, Egypt	12/14/87.	Dec	1987		From: Dr. Ahmed Rammah, Agricultural Research Center, Giza, Egypt, 1/15/88.
USDA1808	USDA1808	1808	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Canada	NA	NA	Blk. 12-6, Saskatoon Research Station, Canada	11/12/87.	Nov	1987		From: B.P. Golpen Research Station, Saskatoon, Saskatchewan, Canada, 11/25/87.
USDA1810	USDA1810	1810	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Canada	NA	NA	Blk. 11-3, Saskatoon Research Station, Canada	11/12/87.	Nov	1987		From: B.P. Golpen Research Station, Saskatoon, Saskatchewan, Canada, 11/25/87.
USDA1819	USDA1819	1819	illumina_2	S. meliloti	Medicago sativa (Alfalfa)	M. sativa	Pakistan	NA	NA	Senkhore, Pakistan	1986		1987	74B6ii IP	From: Robert Berg, Utah State University.
USDA1883	USDA1883	1883	illumina_2	S. meliloti	Medicago ruthenica	M. ruthenica	China	NA	NA	Mongolia, China			NA	Soil Sample 30, Syn. 30a	From: same source as USDA1843, Effective, good plant growth
USDA1919	USDA1919	1919	illumina_2	S. meliloti	Medicago ruthenica	M. ruthenica	China	NA	NA	Mongolia, China			NA	Soil Sample 60, Syn. 60a	From: same source as USDA1843, Effective, good plant growth
USDA1106	USDA1106	1106	Pacbio|illumina_1|illumina_2	S. meliloti	M. sativa	M. sativa	USA	NA	NA	California	1939		1939	3DOa15, ATCC 10311	GH test 9/83 - effective for M. sativa. 2/17/84 - effective for M. sativa and M. alba., in Epstein et al. & Suguwara et al. 
USDA1157	USDA1157	1157	Pacbio|illumina_1|illumina_2	S. meliloti	M. sativa (Alfalfa)	M. sativa	USA	NA	NA	Prosser, Wash. - Elliot	1968		1968	No. 102F67, Alfalfa #32	In Epstein et al. & Suguwara et al.
